Category,Sub-Category,Total_Revenue,Average_Sale,Number_Of_Orders
Technology,Phones,330007.05,371.21,889
Furniture,Chairs,328449.1,532.33,617
Office Supplies,Storage,223843.61,264.59,846
Furniture,Tables,206965.53,648.79,319
Office Supplies,Binders,203412.73,133.56,1523
Technology,Machines,189238.63,1645.55,115
Technology,Accessories,167380.32,215.97,775
Technology,Copiers,149528.03,2198.94,68
Furniture,Bookcases,114880.0,503.86,228
Office Supplies,Appliances,107532.16,230.76,466
Furniture,Furnishings,91705.16,95.83,957
Office Supplies,Paper,78479.21,57.28,1370
Office Supplies,Supplies,46673.54,245.65,190
Office Supplies,Art,27118.79,34.07,796
Office Supplies,Envelopes,16476.4,64.87,254
Office Supplies,Labels,12486.31,34.3,364
Office Supplies,Fasteners,3024.28,13.94,217
