interaction_id,customer_id,channel,sentiment,support_tickets_count,interaction_timestamp
INT-00301,CUST-0090,Mobile App,Neutral,1,2024-03-07 10:00:00
INT-00302,CUST-0037,Phone Support,Positive,0,2024-03-10 10:00:00
INT-00303,CUST-0212,Web,Negative,0,2024-03-05 10:00:00
INT-00304,CUST-0031,Phone Support,Negative,0,2024-03-04 10:00:00
INT-00305,CUST-0179,In-Store,Positive,2,2024-03-08 10:00:00
INT-00306,CUST-0028,Web,Neutral,2,2024-03-11 10:00:00
INT-00307,CUST-0041,Mobile App,Neutral,0,2024-03-02 10:00:00
INT-00308,CUST-0021,Web,Positive,2,2024-03-05 10:00:00
INT-00309,CUST-0213,Mobile App,Positive,1,2024-03-08 10:00:00
INT-00310,CUST-0191,In-Store,Neutral,1,2024-03-04 10:00:00
INT-00311,CUST-0185,Phone Support,Negative,2,2024-03-07 10:00:00
INT-00312,CUST-0004,Web,Positive,0,2024-03-06 10:00:00
INT-00313,CUST-0165,Mobile App,Negative,0,2024-03-02 10:00:00
INT-00314,CUST-0003,Phone Support,Negative,1,2024-03-08 10:00:00
INT-00315,CUST-0142,In-Store,Negative,0,2024-03-06 10:00:00
INT-00316,CUST-0109,In-Store,Positive,2,2024-03-04 10:00:00
INT-00317,CUST-0097,Mobile App,Neutral,2,2024-03-04 10:00:00
INT-00318,CUST-0015,Phone Support,Positive,2,2024-03-05 10:00:00
INT-00319,CUST-0144,Web,Negative,1,2024-03-11 10:00:00
INT-00320,CUST-0123,Phone Support,Neutral,0,2024-03-07 10:00:00
INT-00321,CUST-0014,Phone Support,Positive,1,2024-03-07 10:00:00
INT-00322,CUST-0028,Web,Neutral,2,2024-03-03 10:00:00
INT-00323,CUST-0200,Web,Positive,1,2024-03-07 10:00:00
INT-00324,CUST-0042,Web,Positive,0,2024-03-10 10:00:00
INT-00325,CUST-0153,In-Store,Positive,2,2024-03-02 10:00:00
INT-00326,CUST-0052,Mobile App,Neutral,0,2024-03-02 10:00:00
INT-00327,CUST-0146,Web,Negative,1,2024-03-11 10:00:00
INT-00328,CUST-0012,In-Store,Positive,1,2024-03-02 10:00:00
INT-00329,CUST-0003,In-Store,Neutral,2,2024-03-07 10:00:00
INT-00330,CUST-0050,Phone Support,Negative,1,2024-03-07 10:00:00
INT-00331,CUST-0034,In-Store,Neutral,2,2024-03-03 10:00:00
INT-00332,CUST-0129,Mobile App,Positive,2,2024-03-03 10:00:00
INT-00333,CUST-0204,Phone Support,Negative,0,2024-03-08 10:00:00
INT-00334,CUST-0075,Mobile App,Negative,1,2024-03-04 10:00:00
