return_id,order_id,item_id,product_id,customer_id,return_reason,refund_amount,return_timestamp
RET-00001,ORD-00006,ITM-000013,PROD-0040,CUST-0189,Defective Item,1067.81,2024-01-27 08:00:00
RET-00002,ORD-00006,ITM-000014,PROD-0037,CUST-0189,Wrong Size,1665.45,2024-01-30 08:00:00
RET-00003,ORD-00008,ITM-000017,PROD-0018,CUST-0071,Late Delivery,1239.3,2024-01-11 17:00:00
RET-00004,ORD-00022,ITM-000040,PROD-0045,CUST-0016,Wrong Size,1753.53,2024-02-08 19:00:00
RET-00005,ORD-00022,ITM-000041,PROD-0018,CUST-0016,Wrong Size,313.04,2024-02-08 19:00:00
RET-00006,ORD-00022,ITM-000042,PROD-0052,CUST-0016,Defective Item,924.67,2024-02-07 19:00:00
RET-00007,ORD-00022,ITM-000043,PROD-0020,CUST-0016,Defective Item,1589.66,2024-02-05 19:00:00
RET-00008,ORD-00036,ITM-000076,PROD-0052,CUST-0084,Wrong Size,987.26,2024-01-10 08:00:00
RET-00009,ORD-00045,ITM-000099,PROD-0024,CUST-0038,Changed Mind,1467.97,2024-01-14 13:00:00
RET-00010,ORD-00054,ITM-000124,PROD-0024,CUST-0170,Defective Item,1520.26,2024-01-12 06:00:00
RET-00011,ORD-00054,ITM-000125,PROD-0017,CUST-0170,Changed Mind,1441.09,2024-01-10 06:00:00
RET-00012,ORD-00079,ITM-000184,PROD-0028,CUST-0012,Changed Mind,1010.34,2024-01-25 00:00:00
RET-00013,ORD-00079,ITM-000185,PROD-0049,CUST-0012,Defective Item,526.61,2024-01-25 00:00:00
RET-00014,ORD-00079,ITM-000186,PROD-0015,CUST-0012,Wrong Size,268.24,2024-01-23 00:00:00
RET-00015,ORD-00080,ITM-000189,PROD-0004,CUST-0188,Late Delivery,709.96,2024-02-10 02:00:00
RET-00016,ORD-00083,ITM-000193,PROD-0023,CUST-0028,Wrong Size,2637.34,2024-01-19 05:00:00
RET-00017,ORD-00083,ITM-000194,PROD-0045,CUST-0028,Defective Item,1687.43,2024-01-16 05:00:00
RET-00018,ORD-00084,ITM-000195,PROD-0058,CUST-0147,Changed Mind,1329.66,2024-01-15 12:00:00
RET-00019,ORD-00090,ITM-000206,PROD-0043,CUST-0172,Wrong Size,425.78,2024-02-09 02:00:00
RET-00020,ORD-00090,ITM-000207,PROD-0054,CUST-0172,Defective Item,1376.85,2024-02-10 02:00:00
RET-00021,ORD-00090,ITM-000208,PROD-0001,CUST-0172,Late Delivery,59.7,2024-02-09 02:00:00
RET-00022,ORD-00090,ITM-000209,PROD-0056,CUST-0172,Changed Mind,950.15,2024-02-09 02:00:00
RET-00023,ORD-00091,ITM-000210,PROD-0026,CUST-0062,Late Delivery,163.98,2024-01-23 11:00:00
RET-00024,ORD-00091,ITM-000211,PROD-0006,CUST-0062,Late Delivery,402.02,2024-01-20 11:00:00
RET-00025,ORD-00091,ITM-000212,PROD-0048,CUST-0062,Defective Item,269.03,2024-01-23 11:00:00
RET-00026,ORD-00091,ITM-000213,PROD-0036,CUST-0062,Changed Mind,2141.5,2024-01-20 11:00:00
RET-00027,ORD-00097,ITM-000225,PROD-0007,CUST-0124,Changed Mind,215.93,2024-01-19 08:00:00
RET-00028,ORD-00097,ITM-000226,PROD-0033,CUST-0124,Wrong Size,1274.29,2024-01-19 08:00:00
RET-00029,ORD-00099,ITM-000229,PROD-0014,CUST-0180,Wrong Size,476.78,2024-01-26 08:00:00
RET-00030,ORD-00099,ITM-000230,PROD-0046,CUST-0180,Defective Item,312.42,2024-01-26 08:00:00
RET-00031,ORD-00100,ITM-000231,PROD-0044,CUST-0195,Defective Item,543.11,2024-02-11 01:00:00
RET-00032,ORD-00100,ITM-000232,PROD-0034,CUST-0195,Defective Item,265.49,2024-02-09 01:00:00
RET-00033,ORD-00100,ITM-000233,PROD-0043,CUST-0195,Changed Mind,222.6,2024-02-09 01:00:00
