product_id,product_name,category,subcategory,unit_cost,msrp,quality_rating,updated_at
PROD-0001,Smartphones Item 1,Electronics,Smartphones,22.87,32.3,3.2,2024-01-01 10:00:00
PROD-0002,Smartphones Item 2,Electronics,Smartphones,303.04,422.64,3.8,2024-01-01 10:00:00
PROD-0003,Smartphones Item 3,Electronics,Smartphones,153.01,219.21,3.2,2024-01-01 10:00:00
PROD-0004,Smartphones Item 4,Electronics,Smartphones,451.56,787.13,5.0,2024-01-01 10:00:00
PROD-0005,Smartphones Item 5,Electronics,Smartphones,290.26,377.85,3.8,2024-01-01 10:00:00
PROD-0006,Laptops Item 1,Electronics,Laptops,78.03,107.73,4.0,2024-01-01 10:00:00
PROD-0007,Laptops Item 2,Electronics,Laptops,41.0,59.89,3.8,2024-01-01 10:00:00
PROD-0008,Laptops Item 3,Electronics,Laptops,247.27,308.14,3.5,2024-01-01 10:00:00
PROD-0009,Laptops Item 4,Electronics,Laptops,130.83,206.06,4.2,2024-01-01 10:00:00
PROD-0010,Laptops Item 5,Electronics,Laptops,105.82,133.78,3.6,2024-01-01 10:00:00
PROD-0011,Tablets Item 1,Electronics,Tablets,474.92,664.57,4.2,2024-01-01 10:00:00
PROD-0012,Tablets Item 2,Electronics,Tablets,404.0,564.68,3.7,2024-01-01 10:00:00
PROD-0013,Tablets Item 3,Electronics,Tablets,409.58,702.72,4.9,2024-01-01 10:00:00
PROD-0014,Tablets Item 4,Electronics,Tablets,76.7,106.8,4.9,2024-01-01 10:00:00
PROD-0015,Tablets Item 5,Electronics,Tablets,108.42,150.54,4.9,2024-01-01 10:00:00
PROD-0016,Headphones Item 1,Electronics,Headphones,484.68,666.37,4.4,2024-01-01 10:00:00
PROD-0017,Headphones Item 2,Electronics,Headphones,250.59,387.29,3.5,2024-01-01 10:00:00
PROD-0018,Headphones Item 3,Electronics,Headphones,194.27,328.3,3.8,2024-01-01 10:00:00
PROD-0019,Headphones Item 4,Electronics,Headphones,65.81,101.24,4.2,2024-01-01 10:00:00
PROD-0020,Headphones Item 5,Electronics,Headphones,277.36,446.28,4.1,2024-01-01 10:00:00
PROD-0021,Men Wear Item 1,Apparel,Men Wear,476.97,704.47,4.4,2024-01-01 10:00:00
PROD-0022,Men Wear Item 2,Apparel,Men Wear,224.84,309.11,4.4,2024-01-01 10:00:00
PROD-0023,Men Wear Item 3,Apparel,Men Wear,411.29,689.9,3.8,2024-01-01 10:00:00
