item_id,order_id,product_id,quantity,unit_price,discount_amount,tax_amount,updated_at
ITM-001238,ORD-00501,PROD-0009,4,206.06,82.42,59.35,2024-03-08 10:00:00
ITM-001239,ORD-00501,PROD-0047,2,504.71,100.94,72.68,2024-03-08 10:00:00
ITM-001240,ORD-00502,PROD-0007,2,59.89,11.98,8.62,2024-03-10 10:00:00
ITM-001241,ORD-00503,PROD-0011,3,664.57,199.37,143.55,2024-03-11 10:00:00
ITM-001242,ORD-00503,PROD-0014,1,106.8,10.68,7.69,2024-03-11 10:00:00
ITM-001243,ORD-00503,PROD-0006,1,107.73,10.77,7.76,2024-03-11 10:00:00
ITM-001244,ORD-00504,PROD-0046,1,168.98,16.9,12.17,2024-03-11 10:00:00
ITM-001245,ORD-00504,PROD-0037,4,603.32,241.33,173.76,2024-03-11 10:00:00
ITM-001246,ORD-00504,PROD-0002,2,422.64,84.53,60.86,2024-03-11 10:00:00
ITM-001247,ORD-00505,PROD-0013,2,702.72,140.54,101.19,2024-03-04 10:00:00
ITM-001248,ORD-00505,PROD-0047,4,504.71,201.88,145.36,2024-03-04 10:00:00
ITM-001249,ORD-00506,PROD-0041,1,308.67,30.87,22.22,2024-03-02 10:00:00
ITM-001250,ORD-00507,PROD-0008,1,308.14,30.81,22.19,2024-03-03 10:00:00
ITM-001251,ORD-00507,PROD-0010,3,133.78,40.13,28.9,2024-03-03 10:00:00
ITM-001252,ORD-00507,PROD-0017,2,387.29,77.46,55.77,2024-03-03 10:00:00
ITM-001253,ORD-00508,PROD-0007,4,59.89,23.96,17.25,2024-03-09 10:00:00
ITM-001254,ORD-00508,PROD-0051,1,470.26,47.03,33.86,2024-03-09 10:00:00
ITM-001255,ORD-00509,PROD-0027,4,310.4,124.16,89.4,2024-03-09 10:00:00
ITM-001256,ORD-00509,PROD-0057,3,666.33,199.9,143.93,2024-03-09 10:00:00
ITM-001257,ORD-00509,PROD-0041,4,308.67,123.47,88.9,2024-03-09 10:00:00
ITM-001258,ORD-00510,PROD-0043,1,229.48,22.95,16.52,2024-03-04 10:00:00
ITM-001259,ORD-00511,PROD-0035,1,393.28,39.33,28.32,2024-03-07 10:00:00
ITM-001260,ORD-00511,PROD-0011,3,664.57,199.37,143.55,2024-03-07 10:00:00
ITM-001261,ORD-00511,PROD-0060,1,209.1,20.91,15.06,2024-03-07 10:00:00
ITM-001262,ORD-00512,PROD-0033,2,339.92,67.98,48.95,2024-03-02 10:00:00
ITM-001263,ORD-00512,PROD-0014,3,106.8,32.04,23.07,2024-03-02 10:00:00
ITM-001264,ORD-00512,PROD-0008,2,308.14,61.63,44.37,2024-03-02 10:00:00
ITM-001265,ORD-00513,PROD-0045,2,443.87,88.77,63.92,2024-03-04 10:00:00
ITM-001266,ORD-00513,PROD-0018,3,328.3,98.49,70.91,2024-03-04 10:00:00
ITM-001267,ORD-00513,PROD-0031,2,469.43,93.89,67.6,2024-03-04 10:00:00
ITM-001268,ORD-00514,PROD-0052,4,502.79,201.12,144.8,2024-03-10 10:00:00
ITM-001269,ORD-00514,PROD-0028,4,532.55,213.02,153.37,2024-03-10 10:00:00
ITM-001270,ORD-00514,PROD-0060,2,209.1,41.82,30.11,2024-03-10 10:00:00
ITM-001271,ORD-00515,PROD-0038,3,217.47,65.24,46.97,2024-03-05 10:00:00
ITM-001272,ORD-00516,PROD-0039,3,379.98,113.99,82.08,2024-03-09 10:00:00
ITM-001273,ORD-00516,PROD-0053,3,573.78,172.13,123.94,2024-03-09 10:00:00
ITM-001274,ORD-00517,PROD-0037,3,603.32,181.0,130.32,2024-03-11 10:00:00
ITM-001275,ORD-00518,PROD-0017,4,387.29,154.92,111.54,2024-03-09 10:00:00
ITM-001276,ORD-00518,PROD-0019,3,101.24,30.37,21.87,2024-03-09 10:00:00
ITM-001277,ORD-00518,PROD-0026,1,82.97,8.3,5.97,2024-03-09 10:00:00
ITM-001278,ORD-00519,PROD-0016,1,666.37,66.64,47.98,2024-03-07 10:00:00
ITM-001279,ORD-00519,PROD-0014,3,106.8,32.04,23.07,2024-03-07 10:00:00
ITM-001280,ORD-00520,PROD-0045,1,443.87,44.39,31.96,2024-03-07 10:00:00
ITM-001281,ORD-00520,PROD-0046,3,168.98,50.69,36.5,2024-03-07 10:00:00
ITM-001282,ORD-00521,PROD-0005,4,377.85,151.14,108.82,2024-03-11 10:00:00
ITM-001283,ORD-00521,PROD-0019,2,101.24,20.25,14.58,2024-03-11 10:00:00
ITM-001284,ORD-00521,PROD-0034,2,266.5,53.3,38.38,2024-03-11 10:00:00
ITM-001285,ORD-00522,PROD-0058,4,490.64,196.26,141.3,2024-03-06 10:00:00
ITM-001286,ORD-00522,PROD-0044,4,113.49,45.4,32.68,2024-03-06 10:00:00
ITM-001287,ORD-00522,PROD-0021,3,704.47,211.34,152.17,2024-03-06 10:00:00
ITM-001288,ORD-00523,PROD-0018,4,328.3,131.32,94.55,2024-03-02 10:00:00
ITM-001289,ORD-00524,PROD-0038,4,217.47,86.99,62.63,2024-03-09 10:00:00
ITM-001290,ORD-00524,PROD-0016,1,666.37,66.64,47.98,2024-03-09 10:00:00
ITM-001291,ORD-00525,PROD-0009,4,206.06,82.42,59.35,2024-03-11 10:00:00
ITM-001292,ORD-00525,PROD-0003,1,219.21,21.92,15.78,2024-03-11 10:00:00
ITM-001293,ORD-00526,PROD-0047,3,504.71,151.41,109.02,2024-03-03 10:00:00
ITM-001294,ORD-00526,PROD-0018,3,328.3,98.49,70.91,2024-03-03 10:00:00
ITM-001295,ORD-00527,PROD-0032,1,56.77,5.68,4.09,2024-03-08 10:00:00
ITM-001296,ORD-00527,PROD-0026,3,82.97,24.89,17.92,2024-03-08 10:00:00
ITM-001297,ORD-00528,PROD-0007,1,59.89,5.99,4.31,2024-03-09 10:00:00
ITM-001298,ORD-00528,PROD-0015,1,150.54,15.05,10.84,2024-03-09 10:00:00
ITM-001299,ORD-00528,PROD-0053,1,573.78,57.38,41.31,2024-03-09 10:00:00
ITM-001300,ORD-00529,PROD-0006,2,107.73,21.55,15.51,2024-03-07 10:00:00
ITM-001301,ORD-00530,PROD-0057,1,666.33,66.63,47.98,2024-03-10 10:00:00
ITM-001302,ORD-00530,PROD-0008,1,308.14,30.81,22.19,2024-03-10 10:00:00
ITM-001303,ORD-00531,PROD-0018,2,328.3,65.66,47.28,2024-03-06 10:00:00
ITM-001304,ORD-00531,PROD-0060,2,209.1,41.82,30.11,2024-03-06 10:00:00
ITM-001305,ORD-00532,PROD-0049,4,269.98,107.99,77.75,2024-03-03 10:00:00
ITM-001306,ORD-00533,PROD-0037,4,603.32,241.33,173.76,2024-03-03 10:00:00
ITM-001307,ORD-00534,PROD-0006,3,107.73,32.32,23.27,2024-03-06 10:00:00
ITM-001308,ORD-00535,PROD-0043,2,229.48,45.9,33.04,2024-03-03 10:00:00
ITM-001309,ORD-00536,PROD-0001,2,32.3,6.46,4.65,2024-03-03 10:00:00
ITM-001310,ORD-00537,PROD-0014,3,106.8,32.04,23.07,2024-03-05 10:00:00
ITM-001311,ORD-00537,PROD-0049,3,269.98,80.99,58.32,2024-03-05 10:00:00
ITM-001312,ORD-00538,PROD-0015,3,150.54,45.16,32.52,2024-03-04 10:00:00
ITM-001313,ORD-00539,PROD-0013,1,702.72,70.27,50.6,2024-03-11 10:00:00
ITM-001314,ORD-00539,PROD-0018,4,328.3,131.32,94.55,2024-03-11 10:00:00
ITM-001315,ORD-00540,PROD-0057,1,666.33,66.63,47.98,2024-03-11 10:00:00
ITM-001316,ORD-00540,PROD-0048,1,273.24,27.32,19.67,2024-03-11 10:00:00
ITM-001317,ORD-00541,PROD-0031,4,469.43,187.77,135.2,2024-03-09 10:00:00
ITM-001318,ORD-00542,PROD-0028,2,532.55,106.51,76.69,2024-03-03 10:00:00
ITM-001319,ORD-00542,PROD-0010,4,133.78,53.51,38.53,2024-03-03 10:00:00
ITM-001320,ORD-00543,PROD-0018,3,328.3,98.49,70.91,2024-03-10 10:00:00
ITM-001321,ORD-00543,PROD-0007,1,59.89,5.99,4.31,2024-03-10 10:00:00
ITM-001322,ORD-00544,PROD-0026,2,82.97,16.59,11.95,2024-03-08 10:00:00
ITM-001323,ORD-00545,PROD-0028,1,532.55,53.25,38.34,2024-03-10 10:00:00
ITM-001324,ORD-00545,PROD-0044,1,113.49,11.35,8.17,2024-03-10 10:00:00
ITM-001325,ORD-00545,PROD-0042,2,355.95,71.19,51.26,2024-03-10 10:00:00
ITM-001326,ORD-00546,PROD-0018,2,328.3,65.66,47.28,2024-03-03 10:00:00
ITM-001327,ORD-00546,PROD-0005,1,377.85,37.79,27.2,2024-03-03 10:00:00
ITM-001328,ORD-00546,PROD-0018,2,328.3,65.66,47.28,2024-03-03 10:00:00
ITM-001329,ORD-00547,PROD-0047,3,504.71,151.41,109.02,2024-03-08 10:00:00
