order_id,customer_id,store_id,order_status,payment_method,order_timestamp,updated_at
ORD-00501,CUST-0050,STR-010,COMPLETED,Cash,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00502,CUST-0104,STR-006,DELIVERED,PayPal,2024-03-10 10:00:00,2024-03-10 10:00:00
ORD-00503,CUST-0130,STR-002,CANCELLED,UPI,2024-03-11 10:00:00,2024-03-11 10:00:00
ORD-00504,CUST-0112,STR-001,DELIVERED,Credit Card,2024-03-11 10:00:00,2024-03-11 10:00:00
ORD-00505,CUST-0117,STR-006,DELIVERED,Debit Card,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00506,CUST-0198,STR-005,PROCESSING,Credit Card,2024-03-02 10:00:00,2024-03-02 10:00:00
ORD-00507,CUST-0164,STR-010,COMPLETED,PayPal,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00508,CUST-0024,STR-002,PROCESSING,Debit Card,2024-03-09 10:00:00,2024-03-09 10:00:00
ORD-00509,CUST-0106,STR-002,COMPLETED,Debit Card,2024-03-09 10:00:00,2024-03-09 10:00:00
ORD-00510,CUST-0207,STR-003,PROCESSING,Credit Card,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00511,CUST-0031,STR-006,CANCELLED,Cash,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00512,CUST-0050,STR-010,RETURNED,Credit Card,2024-03-02 10:00:00,2024-03-02 10:00:00
ORD-00513,CUST-0008,STR-006,DELIVERED,Credit Card,2024-03-04 10:00:00,2024-03-04 10:00:00
ORD-00514,CUST-0024,STR-006,PROCESSING,PayPal,2024-03-10 10:00:00,2024-03-10 10:00:00
ORD-00515,CUST-0065,STR-003,PROCESSING,PayPal,2024-03-05 10:00:00,2024-03-05 10:00:00
ORD-00516,CUST-0043,STR-004,CANCELLED,PayPal,2024-03-09 10:00:00,2024-03-09 10:00:00
ORD-00517,CUST-0160,STR-002,CANCELLED,PayPal,2024-03-11 10:00:00,2024-03-11 10:00:00
ORD-00518,CUST-0096,STR-002,DELIVERED,Credit Card,2024-03-09 10:00:00,2024-03-09 10:00:00
ORD-00519,CUST-0030,STR-003,CANCELLED,Debit Card,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00520,CUST-0096,STR-003,COMPLETED,Credit Card,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00521,CUST-0055,STR-008,PROCESSING,Debit Card,2024-03-11 10:00:00,2024-03-11 10:00:00
ORD-00522,CUST-0027,STR-009,RETURNED,Credit Card,2024-03-06 10:00:00,2024-03-06 10:00:00
ORD-00523,CUST-0051,STR-004,CANCELLED,PayPal,2024-03-02 10:00:00,2024-03-02 10:00:00
ORD-00524,CUST-0031,STR-002,DELIVERED,Cash,2024-03-09 10:00:00,2024-03-09 10:00:00
ORD-00525,CUST-0073,STR-001,COMPLETED,PayPal,2024-03-11 10:00:00,2024-03-11 10:00:00
ORD-00526,CUST-0087,STR-001,CANCELLED,Credit Card,2024-03-03 10:00:00,2024-03-03 10:00:00
ORD-00527,CUST-0193,STR-006,COMPLETED,Cash,2024-03-08 10:00:00,2024-03-08 10:00:00
ORD-00528,CUST-0179,STR-008,COMPLETED,UPI,2024-03-09 10:00:00,2024-03-09 10:00:00
ORD-00529,CUST-0036,STR-002,CANCELLED,Debit Card,2024-03-07 10:00:00,2024-03-07 10:00:00
ORD-00530,CUST-0186,STR-006,COMPLETED,Credit Card,2024-03-10 10:00:00,2024-03-10 10:00:00
ORD-00531,CUST-0078,STR-002,PROCESSING,Cash,2024-03-06 10:00:00,2024-03-06 10:00:00
