interaction_id,customer_id,channel,sentiment,support_tickets_count,interaction_timestamp,_ingest_timestamp,_source_file,_source_system,_batch_id
INT-00001,CUST-0083,Mobile App,Negative,3,2024-01-14 08:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00002,CUST-0060,In-Store,Negative,3,2024-01-27 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00003,CUST-0181,Mobile App,Neutral,0,2024-01-25 22:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00004,CUST-0033,In-Store,Positive,3,2024-02-03 04:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00005,CUST-0026,Web,Negative,1,2024-02-04 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00006,CUST-0105,Web,Neutral,2,2024-02-11 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00007,CUST-0087,Phone Support,Negative,0,2024-02-10 08:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00008,CUST-0085,Phone Support,Neutral,3,2024-02-14 03:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00009,CUST-0139,Web,Positive,2,2024-01-04 05:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00010,CUST-0059,Web,Negative,0,2024-01-06 23:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00011,CUST-0114,In-Store,Positive,0,2024-01-12 08:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00012,CUST-0084,In-Store,Neutral,3,2024-01-04 19:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00013,CUST-0038,Phone Support,Negative,1,2024-01-17 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00014,CUST-0044,Phone Support,Negative,1,2024-01-12 12:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00015,CUST-0128,Mobile App,Neutral,2,2024-02-07 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00016,CUST-0118,Web,Neutral,2,2024-01-18 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00017,CUST-0174,Web,Neutral,2,2024-02-04 15:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00018,CUST-0151,Phone Support,Negative,2,2024-01-21 06:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00019,CUST-0117,Phone Support,Neutral,0,2024-01-20 16:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00020,CUST-0061,In-Store,Negative,2,2024-01-26 04:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00021,CUST-0180,Phone Support,Neutral,0,2024-01-19 10:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00022,CUST-0145,Web,Negative,3,2024-02-14 09:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00023,CUST-0074,In-Store,Positive,1,2024-01-16 05:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00024,CUST-0159,Mobile App,Negative,0,2024-01-18 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00025,CUST-0161,In-Store,Neutral,0,2024-02-11 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00026,CUST-0149,Mobile App,Positive,2,2024-01-25 09:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00027,CUST-0084,Mobile App,Positive,2,2024-01-27 15:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00028,CUST-0136,Mobile App,Neutral,3,2024-02-02 18:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00029,CUST-0076,Phone Support,Positive,1,2024-01-22 13:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00030,CUST-0194,Phone Support,Negative,2,2024-01-16 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00031,CUST-0024,In-Store,Negative,0,2024-01-26 10:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00032,CUST-0117,In-Store,Negative,3,2024-01-25 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00033,CUST-0164,Mobile App,Neutral,0,2024-01-24 13:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00034,CUST-0159,Mobile App,Negative,0,2024-02-05 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00035,CUST-0163,In-Store,Negative,3,2024-01-31 08:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00036,CUST-0030,Web,Neutral,3,2024-01-09 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00037,CUST-0030,Mobile App,Neutral,3,2024-01-07 17:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00038,CUST-0095,Phone Support,Negative,1,2024-02-13 09:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00039,CUST-0107,Phone Support,Negative,3,2024-02-11 13:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00040,CUST-0072,In-Store,Positive,3,2024-01-04 08:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00041,CUST-0114,Web,Negative,2,2024-01-16 21:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00042,CUST-0140,Web,Neutral,2,2024-02-11 21:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00043,CUST-0049,Web,Negative,1,2024-01-09 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00044,CUST-0165,Web,Positive,2,2024-02-11 05:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00045,CUST-0063,Mobile App,Positive,1,2024-01-10 04:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00046,CUST-0151,In-Store,Positive,0,2024-01-14 17:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00047,CUST-0071,In-Store,Positive,0,2024-01-10 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00048,CUST-0170,Web,Neutral,1,2024-01-02 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00049,CUST-0151,Mobile App,Neutral,0,2024-01-21 10:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00050,CUST-0033,Web,Negative,0,2024-01-28 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00051,CUST-0122,Web,Neutral,1,2024-01-29 21:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00052,CUST-0158,In-Store,Neutral,0,2024-01-04 09:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00053,CUST-0016,Phone Support,Negative,0,2024-01-31 22:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00054,CUST-0126,Web,Positive,2,2024-02-16 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00055,CUST-0156,Mobile App,Neutral,2,2024-01-10 12:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00056,CUST-0098,In-Store,Neutral,3,2024-02-09 02:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00057,CUST-0026,Mobile App,Neutral,3,2024-02-14 13:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00058,CUST-0059,Phone Support,Neutral,3,2024-01-27 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00059,CUST-0187,Phone Support,Neutral,2,2024-01-07 20:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00060,CUST-0096,Phone Support,Positive,0,2024-01-11 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00061,CUST-0022,Web,Negative,2,2024-01-06 23:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00062,CUST-0034,In-Store,Negative,0,2024-02-05 11:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00063,CUST-0106,Phone Support,Negative,0,2024-01-24 07:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00064,CUST-0074,In-Store,Positive,1,2024-02-08 19:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00065,CUST-0040,Mobile App,Positive,2,2024-02-13 01:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00066,CUST-0143,In-Store,Negative,1,2024-01-24 13:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00067,CUST-0110,Web,Negative,2,2024-02-06 05:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00068,CUST-0008,In-Store,Neutral,2,2024-01-12 18:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00069,CUST-0002,Phone Support,Positive,1,2024-01-12 14:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00070,CUST-0190,Web,Negative,1,2024-02-10 10:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
INT-00071,CUST-0097,In-Store,Positive,2,2024-01-28 00:00:00,2026-08-13T19:21:32.866+05:30,customer_interactions.csv,CRM,batch_01
