item_id,order_id,product_id,quantity,unit_price,discount_amount,tax_amount,updated_at,_ingest_timestamp,_source_file,_source_system,_batch_id
ITM-000001,ORD-00001,PROD-0028,2,532.55,77.75,78.99,2024-01-29 05:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000002,ORD-00001,PROD-0059,2,65.98,10.98,9.68,2024-01-29 05:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000003,ORD-00001,PROD-0009,2,206.06,19.45,31.41,2024-01-29 05:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000004,ORD-00001,PROD-0004,3,787.13,337.15,161.94,2024-01-29 05:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000005,ORD-00002,PROD-0027,4,310.4,91.02,92.05,2024-02-07 02:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000006,ORD-00002,PROD-0006,5,107.73,2.49,42.89,2024-02-07 02:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000007,ORD-00002,PROD-0049,2,269.98,23.66,41.3,2024-02-07 02:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000008,ORD-00002,PROD-0018,2,328.3,52.95,48.29,2024-02-07 02:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000009,ORD-00003,PROD-0037,1,603.32,24.24,46.33,2024-02-08 09:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000010,ORD-00004,PROD-0028,1,532.55,58.79,37.9,2024-02-05 11:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000011,ORD-00004,PROD-0042,2,355.95,31.79,54.41,2024-02-05 11:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000012,ORD-00005,PROD-0050,2,165.94,10.45,25.71,2024-01-18 21:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000013,ORD-00006,PROD-0040,2,605.15,142.49,85.42,2024-01-25 08:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000014,ORD-00006,PROD-0037,3,603.32,144.51,133.24,2024-01-25 08:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000015,ORD-00007,PROD-0009,4,206.06,113.59,56.85,2024-01-21 04:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000016,ORD-00008,PROD-0049,4,269.98,79.29,80.05,2024-01-10 17:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000017,ORD-00008,PROD-0018,4,328.3,73.9,99.14,2024-01-10 17:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000018,ORD-00009,PROD-0056,1,480.47,52.68,34.22,2024-01-26 00:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000019,ORD-00010,PROD-0053,2,573.78,85.16,84.99,2024-01-07 03:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000020,ORD-00010,PROD-0021,3,704.47,107.07,160.51,2024-01-07 03:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000021,ORD-00010,PROD-0037,2,603.32,102.47,88.33,2024-01-07 03:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000022,ORD-00010,PROD-0032,3,56.77,22.84,11.8,2024-01-07 03:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000023,ORD-00011,PROD-0060,2,209.1,27.68,31.24,2024-01-04 13:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000024,ORD-00012,PROD-0056,3,480.47,20.18,113.7,2024-01-15 08:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000025,ORD-00012,PROD-0006,3,107.73,32.21,23.28,2024-01-15 08:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000026,ORD-00013,PROD-0046,1,168.98,0.03,13.52,2024-01-22 09:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000027,ORD-00014,PROD-0045,3,443.87,163.21,93.47,2024-01-17 02:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000028,ORD-00015,PROD-0047,1,504.71,7.81,39.75,2024-02-01 12:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000029,ORD-00016,PROD-0040,2,605.15,79.9,90.43,2024-01-26 14:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000030,ORD-00017,PROD-0058,1,490.64,10.3,38.43,2024-01-29 05:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000031,ORD-00018,PROD-0016,3,666.37,193.3,144.46,2024-01-26 21:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000032,ORD-00018,PROD-0016,5,666.37,300.37,242.52,2024-01-26 21:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000033,ORD-00019,PROD-0034,5,266.5,101.84,98.45,2024-01-21 08:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000034,ORD-00019,PROD-0048,4,273.24,48.45,83.56,2024-01-21 08:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000035,ORD-00020,PROD-0041,5,308.67,16.44,122.15,2024-02-02 22:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000036,ORD-00020,PROD-0057,1,666.33,98.64,45.42,2024-02-02 22:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000037,ORD-00020,PROD-0060,3,209.1,12.42,49.19,2024-02-02 22:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000038,ORD-00020,PROD-0056,5,480.47,151.66,180.06,2024-02-02 22:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000039,ORD-00021,PROD-0001,3,32.3,3.14,7.5,2024-02-01 12:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000040,ORD-00022,PROD-0045,4,443.87,21.95,140.28,2024-02-03 19:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000041,ORD-00022,PROD-0018,1,328.3,15.26,25.04,2024-02-03 19:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000042,ORD-00022,PROD-0052,2,502.79,80.91,73.97,2024-02-03 19:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000043,ORD-00022,PROD-0020,4,446.28,195.46,127.17,2024-02-03 19:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000044,ORD-00023,PROD-0020,2,446.28,15.99,70.13,2024-01-29 13:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000045,ORD-00024,PROD-0011,3,664.57,37.96,156.46,2024-01-02 15:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000046,ORD-00024,PROD-0050,3,165.94,54.73,35.45,2024-01-02 15:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000047,ORD-00024,PROD-0008,1,308.14,15.48,23.41,2024-01-02 15:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000048,ORD-00025,PROD-0032,4,56.77,17.4,16.77,2024-02-04 12:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000049,ORD-00026,PROD-0050,1,165.94,22.26,11.49,2024-02-07 15:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000050,ORD-00026,PROD-0044,1,113.49,3.89,8.77,2024-02-07 15:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
ITM-000051,ORD-00026,PROD-0033,1,339.92,2.25,27.01,2024-02-07 15:00:00,2026-08-13T19:21:33.493+05:30,order_items.csv,ERP,batch_01
